Name,Gender,Nationality,Birth Year,Death Year
Osamu Shiihara,Male,Japanese,1905,1974
Hans Poelzig,Male,German,1869,1936
Paolo Soleri,Male,American,1919,2013
Paul Nelson,Male,American,1895,1979
Oscar Niemeyer,Male,Brazilian,1907,2012
Charles Zimmerman,Male,,1942,
Kohei Sugiura,Male,Japanese,1932,
Andrea Branzi,Male,Italian,1938,
Yona Friedman,Male,French,1923,
Wallace K. Harrison,Male,American,1895,1981
Cornelis van Eesteren,Male,Dutch,1897,1988
Ron Herron,Male,British,1930,1994
Rodolfo Machado,Male,American,1942,
Max Peintner,Male,Austrian,1937,
Mark Bennett,Male,American,1956,
Michael Ray Charles,Male,American,1967,
Julia Jacquette,Female,American,1964,
Fabian Marcaccio,Male,Argentine,1963,
Mariko Mori,Female,Japanese,1967,
George Hoyningen-Huene,Male,American,1900,1968
Massimo Scolari,Male,Italian,1943,
Julian Opie,Male,British,1958,
Jorge Silvetti,Male,American,1942,
Gianni Braghieri,Male,Italian,1945,
Jorge Pardo,Male,American,1963,
Cornelia Parker,Female,British,1956,
Robert Cole,Male,,,
Shoji Sadao,Male,American,1927,
Charles Spurrier,Male,Swiss,1930,
Allyson Strafella,Female,American,1969,
Charles Norman Sladen,Male,American,1858,1949
Rineke Dijkstra,Female,Dutch,1959,
Mario Gabinio,Male,Italian,1871,1938
Peter Goin,Male,American,1951,
Wilhelm Ebentreich,Male,German,1952,
Detlef Fiedler,Male,German,1955,
Daniela Haufe,Female,German,1966,
Siegfried Jablonsky,Male,German,1950,
Sophie Alex,Female,German,1967,
Guglielmo Berchicci,Male,Italian,1957,
Konstantin Grcic,Male,German,1965,
James Thrall Soby,Male,American,1906,1979
Kunié Sugiura,Female,American,1942,
Vera Lutter,Female,German,1960,
Stan Douglas,Male,Canadian,1960,
Andreas Slominski,Male,German,1959,
Wijnanda Deroo,Female,Dutch,1955,
Beat Streuli,Male,Swiss,1957,
Giovanni Guerrini,Male,Italian,1887,1972
Mario Romano,Male,Italian,,
Stefano Giovannoni,Male,Italian,1954,
Harmony Korine,Male,American,1973,
Boris Mikhailov,Male,Ukrainian,1938,
Langlands & Bell,,British,1978,
Gordon Bunshaft,Male,American,1909,1990
Götz Keller,,German,1958,
Marty Kohn,Male,Canadian,1953,
Jeroen Thomas,Male,Dutch,1952,
Garciella Torre,Female,Spanish,1959,
Willem Jan Neutelings,Male,Dutch,1959,
Brigitte Kochta,Female,German,1958,
Luc Reuse,Male,Belgian,1955,
M. Bosshard,Male,Italian,,
Jacques-Philippe Potteau,,French,1807,1876
Josef Kohn,Male,Austrian,1817,1884
Eleanor Antin,Female,American,1935,
Phel Steinmetz,Male,American,1944,
Micha Bar-Am,Female,Israeli,1930,
Laurenz Berges,Male,German,1966,
E. V. Day,Female,American,1968,
Guy Bourdin,Male,French,1933,1991
Catherine Opie,Female,American,1961,
Inka Essenhigh,Female,American,1969,
Eberhard Havekost,Male,German,1967,
James Welling,Male,American,1951,
Michael Wesely,Male,German,1963,
Claude Cahun (Lucy Schwob),Female,French,1894,1954
Lygia Pape,Female,Brazilian,1927,2004
Shahzia Sikander,Female,Pakistani,1969,
Do Ho Suh,Male,Korean,1962,
Lynne Yamamoto,Female,Nationality unknown,,
David Byrne,Male,American,1952,
Bruce Pearson,Male,American,,
Nari Ward,Male,American,1963,
Kevin Appel,Male,American,1967,
Willi Baum,Male,Swiss,,
John M. Dillon,Male,American,,
Gabriele Nothhelfer,Female,German,1945,
Helmut Nothhelfer,Male,German,1945,
Samuel A. King,Male,British,1828,1914
Beryl Marton,Female,American,,
John Ross,Male,American,,
Giovanni Anselmo,Male,Italian,1934,
Pino Pascali,Male,Italian,1935,1968
Venturi and Rauch,,American,1964,1979
John Rauch,Male,American,1930,
Venturi Rauch and Scott Brown,,American,1980,
Denise Scott Brown,Female,American,1931,
Thom Mayne,Male,American,1944,
Erich Mendelsohn,Male,American,1887,1953
Alessandro Magris,Male,Italian,1941,
Roberto Magris,Male,Italian,1935,
Gian Piero Frassinelli,Male,Italian,1939,
Adolfo Natalini,Male,Italian,1941,
Cristiano Toraldo di Francia,Male,Italian,1941,
Alison Sky,Female,American,,
Michelle Stone,Female,American,1944,
Emilio Sousa,Male,American,1944,
Alessandro Poli,Male,Italian,,
Peter Wollbrandt,Male,,,
Wilhelm Heuschen,Male,,,
Henny Cahn,Male,Dutch,,
Toni Del Renzio,,Nationality unknown,,
John (born Helmut Herzfelde) Heartfield,Male,German,1891,1968
Robert M. Jones,Male,Nationality unknown,,
R. Schwarzkopf,,Nationality unknown,,
Walter Seifert,Male,German,,
Hajo Rose,Male,German,1910,1989
Franz Wilhelm Seiwert,Male,German,1894,1933
Anton Stankowski,Male,German,1906,1998
Richard Gangle,Male,American,1918,
Ken Grant,Male,British,1967,
Paula Horn Kotis,Female,American,1922,2013
Martin Manz,Male,German,1954,
Alessandra Sanguinetti,Female,American,1968,
Susan Unterberg,Female,American,1941,
Z. Robaszek,,Nationality unknown,,
Harry Shunk,Male,French,1924,2006
Thomas Kinslow,Male,,,
J. da Nobrega,,Italian,1945,
J. Charters,,Italian,1945,
František Kalivoda,Male,Czech,1913,1971
Mac Adams,Male,American,1943,
Zdenek Rossmann,Male,Czech,1905,1984
Solomon Telingater,Male,Russian,1903,1969
Leonid A. Voronov,Male,Russian,,
Armando Testa,Male,Italian,1917,
Willem Hendrik Gispen,Male,Dutch,1890,1981
Doug Aitken,Male,American,1968,
Vanessa Beecroft,Female,Italian,1969,
Yves José Zimmerman,Male,Swiss,1937,
Gérard Miedinger,Male,Swiss,1912,
Nikolai Kuleshov,Male,Russian,,
Wes Wilson,Male,American,1937,
Jake Chapman,Male,British,1966,
Dinos Chapman,Male,British,1962,
Klaus Staeck,Male,German,1938,
Eryk Lipinski,Male,Polish,1908,1991
Jacek Neugebauer,Male,Polish,1934,
Edward Fella,Male,American,1938,
Walter Diethelm,Male,Swiss,1913,1986
Josef Flejšar,Male,Czech,1922,2010
Zdenĕk Ziegler,Male,Czech,1932,
Nicola Constantino,Female,Argentine,1964,
Thomas Hirschhorn,Male,Swiss,1957,
Horst Hoheisel,Male,German,1944,
Michael Joo,Male,American,1966,
Dan Olson,Male,American,1955,
Todd Piper-Hauswirth,Male,,,
Kerry James Marshall,Male,American,1955,
Jason Rhoades,Male,American,1965,2006
Lisa Ruyter,Female,American,1968,
Richard Billingham,Male,British,1970,
Janine Antoni,Female,Bahamian,1964,
Peter Bradley,Male,American,1940,
Jose Antonio Fernández-Muro,Male,Argentine,1920,
Henry Markowitz,Male,American,1930,1981
Judy Stern,Female,,,
Pipilotti Rist,Female,Swiss,1962,
Ken Miller,Male,American,1958,
Richard Mantel,Male,American,1941,
Leslie Sweet,Male,American,1958,
Jean Crotti,Male,French,1878,1958
Suzanne Duchamp,Female,French,1889,1963
Frank Benedict,Male,American,1951,
Los Carpinteros,,Cuban,,
Marco Castillo,Male,Cuban,1971,
Alexandre Arrechea,Male,Cuban,1970,
Dagoberto Rodriguez,Male,Cuban,1969,
Eberhard Marhold,Male,German,1943,
Roswitha Marhold,Female,German,,
Christa Ehrlich,Female,Dutch,1903,1995
Max Morise,Male,French,1900,1973
Pierre Naville,Male,French,1900,1993
Greta Knutson,Female,Swedish,1899,1983
Esteban Francés,Male,Spanish,1913,1976
Remedios Varo,Female,Spanish,1908,1963
Jeannette Ducrocq Tanguy,Female,French,1896,1977
Fred Mayer,Male,Swiss,1938,
John Morris,Male,American,1965,
Emmanuel Yevzerikhin,Male,Russian,1911,1984
Georgy Khomzor,Male,Russian,1914,1990
Renata Grindler,Female,German,1940,
John Van Hamersveld,Male,American,1941,
Rudolf Bircher,Male,Swiss,,
José Toirac,Male,Cuban,1966,
Polly Apfelbaum,Female,American,1955,
Maurizio Cattelan,Male,Italian,1960,
Diana Thater,Female,American,1962,
Clementine Helene Dufau,Female,French,1869,1937
Robert Overby,Male,American,1935,1993
Walther Koch,Male,Swiss,1875,1915
Victor Ancona,Male,American,1912,1998
Wilhelm Langloh,Male,German,,
Eva Schoeler,Female,,,
Leo Gantenbein,Male,Swiss,1920,
Winfried Holtz,Female,German,1937,
Siegfried Himmer,Male,German,1935,
Hans Buschfeld,Male,German,1939,
Heinz Lippert,Male,German,1938,
Coort von Mannstein,Male,German,1937,
Karl Michel,Male,German,1895,
Hans Michel,Male,German,1920,
Brian Tattersfield,Male,British,1936,
Heini Fischer-Corso,,Swiss,1921,1990
Shirin Neshat,Female,Iranian,1957,
Nicolaus Ott,Male,German,1949,
Alfred Bernard Stein,Male,German,1947,
René Georges Hermann-Paul,Male,French,1864,1940
Kilian Breier,Male,German,1931,
Eleanore Bujatti,Female,Austrian,1919,
Rudi Feld,Male,American,1896,1994
Matthew Smith,Male,British,1879,1959
Miroslaw Balka,Male,Polish,1958,
I. Stepanov,,Russian,,
Betty Goodwin,Female,Canadian,1923,2008
Éva Kémeny,Female,Hungarian,1929,2011
Yakov Ruklevsky,Male,Russian,1884,1965
Billy Sullivan,Male,American,1946,
Efim Mezhbarg,Male,Russian,1912,1937
Lorenzo Goñi,Male,Spanish,1911,1992
Juan Antonio Morales,Male,Spanish,1909,1984
Francis Alÿs,Male,Belgian,1959,
Francis Meynell,Male,British,1891,1975
Frank Newbould,Male,British,1887,1951
Pierre Fix-Masseau,Male,French,1869,1937
Josep Subirats Samora,Male,Spanish,1914,1997
Wilhelm Friedrich Bürger,Male,Swiss,1882,1964
Marek Freudenreich,Male,Polish,1939,
Hans Hartmann,Male,Swiss,1913,
Bonnie Maclean,Female,American,1949,
Alton Kelley,Male,American,1940,2008
John H. Myers,Male,American,,
Emil Ruder,Male,Swiss,1914,1970
Werner Zryd,Male,Swiss,1923,
Pierre Gauchat,Male,Swiss,1902,1956
Heinz Fuchs,Male,German,1886,1961
Marfurt,,Nationality unknown,,
Maciej Zbikowski,Male,Polish,1935,
Marguerite Delorme,,Nationality unknown,,
Jöran Lindvall,,Swedish,,
Sture Balgård,Male,,,
Eva Björklund,Female,,,
Anibal Gil,Male,Colombian,1932,
Kurt Wenzel,Male,Danish,1899,1996
Makoto Saito,Male,Japanese,1952,
A. Wagner,,German,,
Kevin Dwyer,Male,American,1952,
Haus-Rucker-Co,,Austrian,1967,1992
Günter Zamp Kelp,Male,Austrian,1941,
Klaus Pinter,Male,Austrian,1940,
Carl Jacobs,Male,Danish,1925,
Giovanni Patrone,Male,Italian,1904,1963
Harri Koskinen,Male,Finnish,1970,
Philippe Starck,Male,French,1949,
Akihiro Kaneko,Male,Japanese,1961,
Yoshihiro Kimura,Male,Japanese,1947,
Osamu Mita,Male,Japanese,,
Keiji Otani,Male,Japanese,1967,
Bruce Ancona,Male,American,1956,
Louis Henry,Male,American,1971,
Ron Arad,Male,British,1951,
Marc Berthier,Male,French,1935,
Cesare Casati,Male,Italian,1936,2015
Gruppo DAM (Designer Associati Milano),,Italian,,
Art Fry,Male,American,1931,
Grete Jalk,Female,Danish,1920,2006
Pentagram,,American,1972,
Gerald Summers,Male,British,1899,1967
Andries Van Onck,Male,Dutch,1928,
Shichiro Imatake,Male,Japanese,1905,2000
John Tang,Male,American,1959,
Peter Cazalet,Male,American,1969,
Benjamin Chia,Male,,,
Russell Crotty,Male,American,1956,
Merce Cunningham,Male,American,1919,2009
John Currin,Male,American,1962,
Margherita Manzelli,Female,Italian,1968,
Jodiah Jacobs,Male,American,1962,
Arthur S. Mole,Male,American,1889,1983
John D. Thomas,Male,American,,1947
Johann Palisa,Male,Austrian,1848,1925
Max Wolf (Maximilian Franz Joseph Cornelius),Male,Austrian,1863,1932
Dieter Rams,Male,German,1932,
Jockum Nordström,Male,Swedish,1963,
Mikael Björnstjerna,Male,Swedish,1945,
Ford Madox Brown,Male,British,1821,1893
Fernando Campana,Male,Brazilian,1961,
Humberto Campana,Male,Brazilian,1953,
Godtfred Kirk Christiansen,Male,Danish,1920,1995
Hércules Barsotti,Male,Brazilian,1914,2010
David Bates,Male,American,1952,
Leslie Evans,,British,1945,
Estella Conwill Majozo,Female,American,1949,
John Bock,Male,German,1965,
Christopher Brown,Male,American,1951,
Cecily Brown,Female,British,1969,
Janet Cardiff,Female,Canadian,1957,
Willys de Castro,Male,Brazilian,1926,1988
Nikolai Lavrent'ev,Male,Russian,,
Varvara Alexandrovna Rodchenko,Female,Russian,1925,
Anna Maria Maiolino,Female,Brazilian,1942,
Christian Marclay,Male,American,1955,
Beatriz Milhazes,Female,Brazilian,1960,
Takashi Murakami,Male,Japanese,1962,
P. Suvorov,,Nationality unknown,,
Gillian Wearing,Female,British,1963,
Pae White,Female,American,1963,
Jerome Olivet,Male,,,
Richard Hell,Male,American,1949,
Paolo Lombardi,Male,Italian,1827,1890
Nedko Solakov,Male,Bulgarian,1957,
Dan Walsh,Male,American,1960,
Rudolf Bonvie,Male,German,1947,
Claude-Joseph-Désiré Charnay,Male,French,1828,1915
Christopher Giglio,Male,American,1964,
Associated Press,,,,
George Grantham Bain,Male,American,1865,1914
Alex Anderson/The New York Times,Male,Nationality unknown,,
Acme News Pictures,,,,
Eddie Adams / Associated Press,Male,American,1933,2004
Abraham Zapruder / Life Magazine Time Inc.,Male,American,,
William H. Gallagher/Associated Press,Male,Nationality unknown,,
Automatic Camera/Photomaton,,,,
Bangs Studio,,,,
Dominique Berretty/Black Star Publishing Co.,Female,French,1925,1980
Bettmann/United Press International,,,,
Neal Boenzi/The New York Times,Male,American,1925,
Blackstar Publishing Co. Inc.,,Nationality unknown,,
Rene Portocarrero,Male,Cuban,1914,1985
British Official Radiophoto/The New York Times,,,,
Arthur Brower/The New York Times,Male,American,1916,1974
Brown Brothers,Male,American,1904,
Pat Burns/The New York Times,Male,American,1909,1973
Chuck Burton/Associated Press,Male,American,1955,
Camera Arts Studios,,,,
Anthony Camerano/Associated Press,Male,American,1909,1973
Pat Candido/The New York Daily News,,Nationality unknown,,
Peter Carroll/Associated Press,Male,Nationality unknown,,
Don Hogan Charles/The New York Times,Male,American,1938,
Alan Chin,Male,Nationality unknown,,
Bill Cunningham/The New York Times,Male,American,1929,
Francesca Woodman,Female,American,1958,1981
Committee on Public Information,,,,
London Daily Mirror,,,,
Suzanne De Chillo/The New York Times,Female,Nationality unknown,,
Vic Delucia/The New York Times,Male,American,1933,
Fehim Demir/Agence France-Presse,Male,Bosnian,1959,
Doty/Times Wide World Press,,Nationality unknown,,
Richard Drew/Associated Press,Male,American,1946,
Fairchild Aerial Surveys Inc.,,,,
Sam Falk/The New York Times,Male,American,1901,1991
John Filo/Valley Daily News via Associated Press,Male,American,1948,
Stanley J. Forman/Boston Herald via Associated Press,Male,American,1945,
Berlin Foto Senneke,,,,
Fotograms,,,,
Fox News,,,,
French Pictorial Service,,,,
Carl T. Gosset Jr./The New York Times,Male,American,1924,1985
Eddie McGovern,Male,Nationality unknown,,
Art Greenspon/Associated Press,Male,American,1942,
Horst Faas,Male,German,1933,2012
James C. Hare/Colliers Weekly,Male,American,1856,1946
Susan Harris/The New York Times,Female,American,1954,
Marc Allégret,Male,French,1900,1973
Harris & Ewing/Times World Wide Photos,,American,,
Eddie Hausner/The New York Times,Male,American,1926,
Albert Hilsher/Times Wide World,Male,Nationality unknown,,
Bruce Hoertel/The New York Times,Male,American,1923,
Hoffman/International Press Studio,,,,
John Hubbard/Black Star Publishing Co.,Male,American,1939,
Auguste Adolphe Bertsch,Male,French,,1871
Barney Ingoglia/The New York Times,Male,American,1928,
International News Photo,,,,
International Newsreel,,,,
Bob Jackson,Male,American,1934,
Norman M. Jeannero/Times World Wide Photos,Male,American,1889,1954
Edward Keating/The New York Times,Male,American,1956,
Arthur Wesley Dow,Male,American,1857,1922
Keystone View Company,,American,1892,1972
Seydou Keïta,Male,Malian,1923,2001
Mike Lien/The New York Times from CBS News,Male,American,1936,1977
Lechner/The New York Times,,Nationality unknown,,
Jay King,Male,American,1944,
Meyer Liebowitz/The New York Times,Male,American,1906,1976
Franz Lowy/Times Wide World,Male,Austrian,,
Herbert Krenchel,Male,Danish,1922,
Arturo Mari/L'Osservatore Romano,Male,Italian,,
S.L.A. Marshall,Male,American,1900,1977
Peter Pelzel,Male,Italian,1937,
Medem Photo Service,,Nationality unknown,,
Ministere De La Guerre,,Nationality unknown,,
Larry C. Morris/The New York Times,Male,American,1924,1987
Yasuki Nagao/United Press International,Male,Japanese,,
NASA,,American,,
Richard Rothman,Male,American,1956,
Günther Ssymmank,Male,German,1920,
Fred Hansen/Pacific and Atlantic Photos,Male,Nationality unknown,,
The New York Daily News,,,,
Martine Barrat,Female,French,1943,
Peter G. Kayafas,Male,American,1971,
The New York Times Studio,,,,
Cal Osbon,Male,American,,
Pacific & Atlantic Photos,,,1921,1932
Keith Pannel/Mail on Sunday,Male,British,1956,
Unknown photographer,,,,
Bill Parsons / Nancy Palmer Agency,Male,Nationality unknown,,
Maria Martinez-Cañas,Female,Cuban,1960,
Glen Pettit/The New York Times,Male,American,1971,
The Pictoral News Company,,,,
Igor Moukhin,Male,Russian,1961,
Douglas C. Pizac/Associated Press,Male,American,1954,
Kent Porter/The Press Democrat via Assocated Press,Male,American,1962,
Press Illustrating Company,,,,
Presse Bild Zentrale,,,,
Moscow Presse Cliche,,,,
Red Cross Institute for Crippled and Disabled Men,,,,
Robert Riger,Male,American,1924,1995
Rollins/Associated Press,,Nationality unknown,,
Osamu Kanemura,Male,Japanese,1964,
Librado Romero/Associated Press,Male,American,1942,
Thomas Demand,Male,German,1964,
Joe Rosenthal/Times World Wide Photos,Male,American,1911,
Alex J. Rota/The New York Times,Male,Nationality unknown,,
Henry Ruschin,Male,Nationality unknown,,
William E. Sauro/The New York Times,Male,American,1929,2001
Cliff Schiappa/Associated Press,Male,American,1957,
Sammy Schulman/International News Photo,Male,American,1906,1980
Barton Silverman/The New York Times,Male,American,1942,
Ernie Sisto/The New York Times,Male,American,1904,1989
J.C.P. Skottowe/Times Wide World Photos,Male,American,,
Dana Stone/United Press International,Female,Nationality unknown,,
Stork Club News Service,,,,
Captain Cecil W. Stoughton,Male,American,1920,2008
Stroop Report,Male,Nationality unknown,,
Ray Stubblebine/Associated Press,Male,American,1946,
Kryn Taconis/Magnum Photos Co.,Male,Dutch,1918,
George Tames/The New York Times,Male,American,1914,1994
Glenn Rudolph,Male,American,1946,
Paul Thompson,Male,American,,
Times Photo Service,,,,
Times Wide World Photos,,American,1919,1941
Caroline Feyt,Female,French,1965,
Mario Cravo Neto,Male,Brazilian,1947,2009
Jean Christian Bourcart,Male,French,1960,
Bob Beerman,Male,American,,
Topical Press Agency,,,,
United Press International,,,,
U.S. Army Air Force,,American,,
U.S. Coast Guard,,American,,
Robert Walker/The New York Times,Male,American,1926,1979
Marilynn K. Yee/The New York Times,Female,American,1950,
Yerkes Observatory,,,,
Bert Six,Male,American,1902,1967
Freda Diamond,Female,American,1905,1998
Heinreich Löffelhardt,Male,German,1901,1979
Tzarskoe Selo C.E. de Hahn & Co.,,,,
International Film Service Company/Hearst,,,,
Radio Corporation of America,,American,,
Anne Marie Fishbein,Female,American,1958,
Matthias Hoch,Male,German,1958,
Curt Richter,Male,American,1956,
Carlo Mazzeri,Male,Italian,1927,
Lutz Dille,Male,Canadian,1922,
Linnaeus Tripe,Male,British,1822,1902
Georgina Starr,Female,British,1968,
Dan Grossi/Associated Press,Male,Nationality unknown,,
Katherine Turczan,Female,American,1965,
Tom Wood,Male,British,1951,
Raymond Riley,Male,American,1958,
David Shen,Male,American,1958,
Theodore C. Brookhart,Male,American,1898,1942
L.M. Ericsson Telephone Company company design,,Swedish,1876,
Hugo Blomberg,Male,Swedish,1897,
Ralph Lysell,Male,Swedish,1907,
Hans Gösta Thames,Male,Swedish,1916,
Architetti Montagni Berizzi Butte,,Italian,1950,
Dario Montagni,Male,Italian,1929,
Sergio Berizzi,Male,Italian,1930,1976
Cesare Butté,Male,Italian,1930,
A. L. Pugh,,American,,
S. J. Stein,,,,
Jens H. Quistgaard,Male,Danish,1919,2008
Michio Arai,Male,Japanese,1938,
IDEO,,,1991,
William Campbell,Male,American,1954,
Michael Cohen,Male,American,,
Ergonomi Design Gruppen (now Veryday),,Swedish,1969,
Giovanni Bassi,Male,Italian,1926,
Gianfranco Masi,Male,Italian,,
Saul Nesbitt,Male,American,1925,
Franca Stagi,Male,Italian,1937,
Paolo Orlandini,Male,Italian,,
Kikukawa Katsuyoshi,Female,Japanese,1935,
Martijn Wegman,Male,Danish,1955,
John Mascheroni,Male,American,1932,
Gianni Passini,Male,Italian,1941,
Diller + Scofidio,,American,1979,
Ernst Lieser,Male,Swedish,1940,
Julius Barnes,Male,,,
William M. Heynes,Male,British,1903,1989
Atelier d'Architecture Christian de Portzamparc Paris,,,,
United Nations Headquarters Board of Design,,,,
Rafael Viñoly Architects,,American,,
Taller de Arquitectura,,,,
Gregory Baird,Male,,,
Rogelio Jimenez,Male,,,
Juan Herreros,Male,Spanish,1958,
Iñaki Ábalos,Male,Spanish,1956,
Abalos&Herreros Madrid,,Spanish,1984,
Hugo Herdeg,Male,Nationality unknown,,
